"ccode","year","agriculture","communication","culture","environment","finance","health","IP","law","multi","products","science","security","tourism","trade","water","total"
700,1950,1,3,1,0,0,1,0,0,0,0,1,1,0,1,0,9
700,1955,1,4,1,0,3,1,0,0,0,0,2,1,0,1,0,14
700,1960,2,4,1,0,3,1,0,0,1,1,2,2,0,1,0,18
700,1965,2,4,1,0,3,1,0,0,2,1,2,2,0,0,0,18
700,1966,2,4,1,0,4,1,0,0,2,1,4,2,0,0,0,21
700,1967,2,4,1,0,4,1,0,0,2,1,4,2,0,0,0,21
700,1968,2,4,1,0,4,1,0,0,3,1,4,2,0,0,0,22
700,1969,2,4,2,0,4,1,0,0,3,1,4,2,0,0,0,23
700,1970,2,4,2,0,4,1,0,0,3,1,4,2,0,0,0,23
700,1971,2,4,2,0,4,1,0,0,3,1,4,2,0,0,0,23
700,1972,2,4,2,0,4,1,0,0,2,1,4,2,0,0,0,22
700,1973,2,4,2,0,4,1,0,0,2,1,4,2,0,0,0,22
700,1974,2,5,2,0,5,1,0,0,2,1,4,2,0,0,0,24
700,1975,2,5,2,0,5,1,0,0,2,1,3,2,1,0,0,24
700,1976,2,5,2,0,5,1,0,0,2,1,3,2,1,0,0,24
700,1977,2,5,2,0,5,1,0,0,2,1,3,2,1,0,0,24
700,1978,3,5,2,0,5,1,0,0,2,1,3,2,1,0,0,25
700,1979,3,6,2,0,6,1,0,0,2,1,3,2,1,0,0,27
700,1980,3,6,2,0,6,1,0,0,2,1,3,2,1,0,0,27
700,1981,3,6,2,0,6,1,0,0,3,1,3,2,1,0,0,28
700,1982,3,6,2,0,6,1,0,0,3,0,3,2,1,0,0,27
700,1983,3,6,2,0,6,1,0,0,3,0,3,2,1,0,0,27
700,1984,3,6,2,0,6,1,0,0,3,0,3,2,1,0,0,27
700,1985,3,6,2,0,6,1,0,0,3,0,3,2,1,0,0,27
700,1986,3,6,2,0,6,1,0,0,2,0,3,2,1,0,0,26
700,1987,3,6,2,1,6,1,0,0,2,0,3,2,1,0,0,27
700,1988,3,7,2,1,6,1,0,0,2,0,3,2,1,0,0,28
700,1989,3,7,2,1,7,1,0,0,2,0,3,2,1,0,0,29
700,1990,3,7,2,1,7,1,0,0,2,0,3,2,1,0,0,29
700,1991,3,7,2,1,7,1,0,0,2,0,3,2,1,0,1,30
700,1992,3,7,2,1,7,1,0,0,2,0,3,2,1,1,1,31
700,1993,3,8,2,1,7,1,0,0,2,0,3,2,1,1,1,32
700,1994,3,8,2,2,7,1,0,0,2,0,3,2,1,1,1,33
700,1995,3,8,2,2,7,1,0,0,2,0,3,2,1,1,1,33
700,1996,3,8,2,2,7,1,0,0,2,0,3,2,1,1,1,33
700,1997,3,8,2,2,7,1,0,0,2,0,3,2,1,1,1,33
700,1998,3,8,2,2,7,1,0,0,2,0,3,2,1,1,1,33
700,1999,3,8,2,2,7,1,0,0,2,0,3,2,1,1,1,33
700,2000,3,8,2,2,7,1,0,0,2,0,3,2,1,1,1,33
339,1950,1,2,0,0,2,1,0,0,1,0,1,1,0,0,0,9
339,1955,1,4,0,0,2,1,0,0,0,0,4,2,0,0,0,14
339,1960,1,5,1,0,2,1,0,0,0,0,4,2,0,0,0,16
339,1965,0,4,1,0,1,1,0,0,0,0,3,2,0,1,0,13
339,1966,0,4,1,0,1,1,0,0,0,0,4,2,0,1,0,14
339,1967,0,4,1,0,1,1,0,0,0,0,4,2,0,1,0,14
339,1968,0,4,1,0,1,1,0,0,0,0,3,2,0,1,0,13
339,1969,0,4,1,0,1,1,0,0,0,0,3,1,0,1,0,12
339,1970,0,4,1,0,1,1,0,0,0,0,3,1,0,1,0,12
339,1971,0,4,1,0,1,1,0,0,0,0,3,1,0,1,0,12
339,1972,0,4,1,0,1,1,0,0,0,0,3,1,0,1,0,12
339,1973,0,4,1,0,1,1,0,0,0,0,3,1,0,1,0,12
339,1974,0,4,1,0,1,1,0,0,0,0,3,1,0,1,0,12
339,1975,0,4,1,0,1,1,0,0,0,0,3,1,0,1,0,12
339,1976,0,4,1,0,1,1,0,0,0,0,3,1,0,1,0,12
339,1977,1,4,1,0,1,1,0,0,0,0,3,1,0,1,0,13
339,1978,1,4,1,0,1,1,0,0,0,0,3,1,0,1,0,13
339,1979,1,4,1,0,1,1,0,0,0,0,3,1,0,1,0,13
339,1980,1,4,1,0,1,1,0,0,0,0,3,1,0,1,0,13
339,1981,1,4,1,0,1,1,0,0,0,0,3,1,0,1,0,13
339,1982,1,4,1,0,1,1,0,0,0,0,3,1,0,1,0,13
339,1983,1,4,1,0,1,1,0,0,0,0,3,1,0,1,0,13
339,1984,1,4,1,0,0,1,0,0,0,0,3,1,0,1,0,12
339,1985,1,5,1,0,0,1,0,0,0,0,3,1,0,1,0,13
339,1986,1,5,1,0,0,1,0,0,0,0,3,1,0,1,0,13
339,1987,1,5,1,0,0,1,0,0,0,0,3,1,0,1,0,13
339,1988,1,5,1,0,0,1,0,0,0,0,3,1,0,1,0,13
339,1989,1,5,1,0,0,2,0,0,0,0,3,1,0,0,0,13
339,1990,1,5,1,0,0,2,0,0,0,0,3,1,0,0,0,13
339,1991,2,5,1,0,4,2,0,1,0,0,4,2,0,0,0,21
339,1992,3,5,2,0,4,2,1,1,0,0,4,2,0,2,0,26
339,1993,3,5,2,0,4,2,1,1,0,0,5,2,0,2,2,29
339,1994,3,6,2,3,5,2,2,1,0,0,5,3,0,2,2,36
339,1995,3,6,2,3,6,2,3,2,0,0,6,4,1,2,2,42
339,1996,3,6,2,3,6,2,3,2,1,0,6,4,1,3,2,44
339,1997,3,6,2,3,6,2,3,2,1,0,6,4,1,3,2,44
339,1998,3,6,2,3,6,2,3,2,1,0,6,4,1,3,2,44
339,1999,3,6,2,4,6,2,3,2,1,0,6,4,1,3,2,45
339,2000,3,6,2,4,6,2,3,2,1,0,6,4,1,4,3,47
615,1960,0,5,0,0,1,1,0,0,3,1,3,2,0,0,0,16
615,1965,2,7,2,1,3,1,0,1,3,2,3,2,0,0,3,30
615,1966,2,6,2,1,3,1,1,1,3,2,4,2,0,1,3,32
615,1967,2,6,2,1,3,1,1,1,3,2,4,2,0,1,3,32
615,1968,2,6,2,1,4,1,1,1,3,2,4,2,0,1,3,33
615,1969,2,7,3,1,4,1,1,1,3,2,5,2,0,2,3,37
615,1970,3,7,2,1,4,1,1,1,3,2,6,2,0,2,3,38
615,1971,3,8,2,1,4,1,1,1,3,2,6,2,0,2,3,39
615,1972,3,8,2,1,5,1,1,1,3,3,6,2,0,2,3,41
615,1973,3,8,2,1,5,1,1,1,3,4,8,1,0,2,3,43
615,1974,3,9,2,1,8,1,1,1,3,4,8,1,0,2,3,47
615,1975,3,9,2,2,9,1,2,1,3,5,8,1,0,2,3,51
615,1976,3,9,2,2,10,1,2,1,3,5,8,1,0,2,3,52
615,1977,3,8,2,2,11,1,2,1,3,5,8,3,0,2,3,54
615,1978,4,8,2,2,10,1,2,1,3,6,10,3,1,2,3,58
615,1979,4,9,2,2,10,1,2,1,3,6,10,3,1,2,3,59
615,1980,4,9,3,2,10,1,2,1,3,6,10,3,1,2,3,60
615,1981,4,9,2,2,10,1,2,1,3,6,11,3,1,3,3,61
615,1982,4,9,2,2,10,1,2,1,3,6,11,3,1,3,3,61
615,1983,4,9,2,2,10,1,2,1,3,6,11,3,1,3,3,61
615,1984,4,9,2,2,11,1,2,1,3,6,11,3,1,3,3,62
