stateabb,ccode,year,irst,milex,milper,energy,tpop,upop,cinc,version
USA,2,1816,80,3823,17,254,8659,101,0.0396975,3.02
USA,2,1817,80,2466,15,277,8899,106,0.0358166,3.02
USA,2,1818,90,1910,14,302,9139,112,0.0361265,3.02
USA,2,1819,90,2301,13,293,9379,118,0.0371333,3.02
USA,2,1820,110,1556,15,303,9618,124,0.0370869,3.02
USA,2,1821,100,1612,11,321,9939,130,0.0341731,3.02
USA,2,1822,100,1079,10,332,10268,136,0.0330794,3.02
USA,2,1823,110,1170,11,345,10596,143,0.0332513,3.02
USA,2,1824,110,1261,11,390,10924,151,0.0331247,3.02
USA,2,1825,120,1336,11,424,11252,158,0.0343644,3.02
USA,2,1826,120,1658,12,502,11580,166,0.0364252,3.02
USA,2,1827,130,1663,12,556,11909,175,0.0357089,3.02
USA,2,1828,130,1622,11,609,12237,183,0.0356879,3.02
USA,2,1829,144,1678,12,686,12565,193,0.0374823,3.02
USA,2,1830,168,1687,12,799,12901,203,0.0384837,3.02
USA,2,1831,194,1835,11,864,13321,222,0.0420014,3.02
USA,2,1832,203,1896,12,1154,13742,244,0.0445447,3.02
USA,2,1833,220,2445,13,1348,14162,268,0.0481381,3.02
USA,2,1834,240,2073,13,1291,14582,295,0.0477735,3.02
USA,2,1835,260,2001,14,1650,15003,324,0.04852,3.02
USA,2,1836,280,2571,17,1807,15423,356,0.050953,3.02
USA,2,1837,290,3121,22,2027,15843,391,0.0535883,3.02
USA,2,1838,310,3083,18,1922,16264,429,0.0532727,3.02
USA,2,1839,330,2012,19,2159,16684,471,0.0508006,3.02
USA,2,1840,291,2755,22,2244,17120,518,0.04955,3.02
USA,2,1841,290,3042,21,2374,17733,562,0.0508649,3.02
USA,2,1842,219,3011,23,2643,18345,610,0.0493011,3.02
USA,2,1843,320,1364,21,2967,18957,662,0.0510815,3.02
USA,2,1844,400,2432,21,3557,19569,718,0.0573262,3.02
USA,2,1845,490,3534,21,4284,20182,779,0.0616531,3.02
USA,2,1846,777,9506,39,4863,20794,846,0.0827573,3.02
USA,2,1847,813,7431,58,5767,21406,918,0.0845096,3.02
USA,2,1848,813,8106,60,6424,22018,996,0.0871742,3.02
USA,2,1849,660,3558,23,6976,22631,1081,0.0730965,3.02
USA,2,1850,572,4302,21,7607,23261,1174,0.0724712,3.02
USA,2,1851,420,3525,21,9438,24086,1273,0.0677073,3.02
USA,2,1852,508,4226,21,10270,24911,1380,0.0718738,3.02
USA,2,1853,730,4605,21,11570,25736,1496,0.0787437,3.02
USA,2,1854,668,5765,21,13632,26561,1623,0.0742004,3.02
USA,2,1855,711,5892,26,14651,27386,1760,0.0759974,3.02
USA,2,1856,801,6117,26,15378,28212,1908,0.0784092,3.02
USA,2,1857,724,7499,27,15779,29037,2069,0.0832949,3.02
USA,2,1858,640,7297,29,16015,29862,2244,0.0834308,3.02
USA,2,1859,763,5638,29,17435,30687,2433,0.0830744,3.02
USA,2,1860,835,7060,28,18282,31513,2639,0.0773722,3.02
USA,2,1861,664,95362,217,17660,32351,2759,0.1444292,3.02
USA,2,1862,715,136769,673,18366,33188,2886,0.1763908,3.02
USA,2,1863,860,119662,960,21157,34026,3018,0.178967,3.02
USA,2,1864,1031,157390,1032,22597,34863,3156,0.1929127,3.02
USA,2,1865,845,30471,1063,22658,35701,3301,0.1354652,3.02
USA,2,1866,1225,17821,77,26846,36538,3452,0.0981717,3.02
USA,2,1867,1326,30698,75,28027,37376,3610,0.1141338,3.02
USA,2,1868,1454,20154,66,31646,38213,3776,0.1066403,3.02
USA,2,1869,1739,16559,52,35983,39051,3949,0.1080056,3.02
USA,2,1870,1692,13128,50,37779,39905,4130,0.0989996,3.02
USA,2,1871,1735,11811,42,39546,40938,4302,0.098381,3.02
USA,2,1872,2590,14246,42,48479,41972,4481,0.1152826,3.02
USA,2,1873,2602,15014,43,53674,43006,4667,0.1162688,3.02
USA,2,1874,2439,12899,44,51736,44040,4862,0.1142451,3.02
USA,2,1875,2057,11720,38,52194,45073,5064,0.1069647,3.02
USA,2,1876,1899,10749,41,51080,46107,5275,0.1019168,3.02
USA,2,1877,2100,9074,34,56754,47141,5495,0.1046526,3.02
USA,2,1878,2338,11367,36,55588,48174,5724,0.1083453,3.02
USA,2,1879,2786,10527,38,67742,49208,5962,0.1203331,3.02
USA,2,1880,3896,11414,38,76969,50262,6211,0.1254597,3.02
USA,2,1881,4211,11973,38,81416,51542,6494,0.1264246,3.02
USA,2,1882,4697,13040,38,91087,52821,6789,0.1310108,3.02
USA,2,1883,4669,11425,37,97750,54100,7099,0.1313463,3.02
USA,2,1884,4164,11438,39,102689,55379,7422,0.1313873,3.02
USA,2,1885,4110,9748,39,103359,56658,7761,0.1312613,3.02
USA,2,1886,5774,10382,39,107964,57938,8114,0.1461353,3.02
USA,2,1887,6520,10765,39,123077,59217,8484,0.1510995,3.02
USA,2,1888,6594,12647,39,139275,60496,8871,0.1523269,3.02
USA,2,1889,7726,13195,39,133959,61775,9275,0.1548427,3.02
USA,2,1890,9350,14788,39,150826,63056,9698,0.1653962,3.02
USA,2,1891,8412,15315,38,162044,64361,10075,0.1655897,3.02
USA,2,1892,9304,15654,39,171105,65666,10467,0.1733359,3.02
USA,2,1893,7238,16964,39,172586,66970,10874,0.1657286,3.02
USA,2,1894,6764,16001,42,161748,68275,11298,0.1544223,3.02
USA,2,1895,9598,15187,42,182744,69580,11737,0.168099,3.02
USA,2,1896,8762,16382,42,183531,70885,12194,0.1600112,3.02
USA,2,1897,9808,30249,44,190740,72189,12669,0.16911,3.02
USA,2,1898,11963,60011,236,207271,73494,13162,0.1970619,3.02
USA,2,1899,13839,38588,100,236406,74799,13674,0.1854763,3.02
USA,2,1900,10352,41481,126,256081,76094,14207,0.1879988,3.02
USA,2,1901,13690,36087,112,280242,77584,14723,0.2026186,3.02
USA,2,1902,15187,39722,111,300106,79163,15258,0.2076682,3.02
USA,2,1903,14768,43814,106,356268,80632,15812,0.2105013,3.02
USA,2,1904,14082,47918,110,353388,82166,16387,0.2049464,3.02
USA,2,1905,20345,45098,108,397156,83822,16982,0.213788,3.02
USA,2,1906,23774,43602,112,419190,85450,17600,0.2182837,3.02
USA,2,1907,23737,58725,108,487862,87008,18239,0.227735,3.02
USA,2,1908,14248,54189,129,432351,88710,18902,0.2031931,3.02
USA,2,1909,24339,56177,142,478835,90490,19589,0.2251969,3.02
USA,2,1910,26512,55880,139,523027,92407,20302,0.2264873,3.02
USA,2,1911,24056,57157,145,521004,93863,21039,0.2162103,3.02
USA,2,1912,31753,58992,153,557076,95335,21804,0.224931,3.02
USA,2,1913,31803,62825,155,600107,97225,22596,0.2199163,3.02
USA,2,1914,23890,253205,166,556778,99111,23340,0.2063691,3.02
USA,2,1915,32667,257648,174,580731,100546,24008,0.2220877,3.02
USA,2,1916,43460,277421,179,646120,101961,24688,0.232941,3.02
USA,2,1917,45784,658584,644,710959,103268,25310,0.2440332,3.02
USA,2,1918,45176,7014226,2897,743925,103208,26020,0.2948764,3.02
USA,2,1919,35228,11217796,1173,648393,104514,26723,0.3813615,3.02
USA,2,1920,42809,1657118,343,743808,106461,27428,0.2895664,3.02
USA,2,1921,20101,1116342,387,622541,108538,28210,0.2532295,3.02
USA,2,1922,36173,860853,270,641311,110049,29013,0.2555951,3.02
USA,2,1923,45665,678256,247,834889,111947,29840,0.2720777,3.02
USA,2,1924,38540,570142,261,762070,114109,30690,0.253591,3.02
USA,2,1925,46122,589706,252,790029,115829,31565,0.2540457,3.02
USA,2,1926,49069,558004,247,852304,117397,32464,0.2632676,3.02
USA,2,1927,45656,596501,249,842978,119035,33389,0.2386266,3.02
USA,2,1928,52371,678100,251,833446,120509,34340,0.2400723,3.02
USA,2,1929,57339,701300,255,903141,121767,35318,0.2397934,3.02
USA,2,1930,41352,699200,256,814891,123188,36326,0.2281101,3.02
USA,2,1931,26363,698900,253,709367,124149,36360,0.2160157,3.02
USA,2,1932,13901,641600,245,612400,124949,36424,0.197177,3.02
USA,2,1933,23605,570400,244,649968,125690,36518,0.2051403,3.02
USA,2,1934,26474,803100,247,689998,126485,36644,0.1974428,3.02
USA,2,1935,34640,806400,252,721900,127362,36843,0.1932461,3.02
